latitude,longitude,depth,mag,magType,(Mw),nst,gap,dmin,rms,place,magNst,month,day,year,hour,minute,second,Exact_Date,mag2
27.956,34.373,33,4.7,mb,4.79771,,,,1,"6 km NE of Sharm el-Sheikh, Egypt",9,3,23,1982,10,48,27.87,1982.231806,
30.529,31.721,33,4.9,mb,5.03957,,,,,"6 km WSW of At Tall al Kab?r, Egypt",,4,29,1974,20,4,39.7,1974.332879,
27.686,33.644,25,4.5,mb,4.55585,,,,,"32 km N of El Gouna, Egypt",,3,5,1973,23,59,46.6,1973.183333,
27.78,33.15,5,3.8,md,4.2,11,339.4,,,"64 km S of Ras Gharib, Egypt",,9,10,2008,1,58,25.2,2008.694673,
29.782,30.637,6.2,4.3,md,4.6755,50,54.3,,,"40 km W of Mad?nat Sittah Ukt?bar, Egypt",,6,21,2008,17,59,46.95,2008.477083,
27.29,34.34,10,4.1,md,4.4853,9,348.1,,,"52 km E of Hurghada, Egypt",,5,29,2008,7,16,13,2008.41473,
27.56,33.28,31,3.9,md,4.2951,8,341.5,,,"43 km WNW of El Gouna, Egypt",,5,29,2008,6,10,44.3,2008.414604,
28.84,34.87,1,4,md,4.3902,8,345.1,,,30 km SE of Nuwaybiï¿½ï¿½ï¿½ï¿,,12,11,2007,8,38,8.9,2007.948222,
29.235,34.67,10,4.5,md,4.8657,,,,0.9,20 km N of Nuwaybiï¿½ï¿½ï¿½ï¿,,2,2,1996,14,42,16.59,1996.090591,
29.039,34.871,10,3.8,md,4.2,,,,0.7,20 km E of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,16,1996,6,17,32.89,1996.045173,
28.895,34.651,10,3.8,md,4.2,,,,0.5,16 km S of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,9,1996,0,10,36.85,1996.02502,
28.737,34.737,10,3.8,md,4.2,,,,0.2,35 km SSE of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,7,1996,18,48,29.04,1996.021621,
29.204,34.691,10,3.7,md,4.1049,,,,0,17 km N of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,6,1996,20,53,29.99,1996.019085,
28.691,34.709,10,4.3,md,4.6755,,,,0.3,"31 km NE of Dahab, Egypt",,1,4,1996,16,25,32.47,1996.013012,
28.694,34.752,10,4,md,4.3902,,,,0.2,"34 km NE of Dahab, Egypt",,1,4,1996,7,31,53.21,1996.011983,
28.698,34.757,10,3.9,md,4.2951,,,,0.1,"35 km NE of Dahab, Egypt",,1,3,1996,11,4,48.27,1996.009616,
28.692,34.672,10,4,md,4.3902,,,,0.4,"28 km NE of Dahab, Egypt",,1,3,1996,10,11,19.09,1996.009513,
28.883,34.92,10,3.8,md,4.2,,,,1,30 km SE of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,2,1996,3,22,36.24,1996.005946,
29.224,35.138,10,4,md,4.3902,,,,0.6,"25 km SE of Tala Bay, Jordan",,12,28,1995,14,22,20.95,1995.996108,
29.139,34.779,10,4.2,md,4.5804,,,,0.4,15 km NE of Nuwaybiï¿½ï¿½ï¿½ï¿,,12,14,1995,4,51,56.74,1995.956119,
28.998,34.767,20,4.6,md,4.9608,,,,1.4,11 km ESE of Nuwaybiï¿½ï¿½ï¿½ï¿,,12,11,1995,18,35,11.98,1995.949373,
29.188,34.81,10,4,md,4.3902,,,,0.8,21 km NE of Nuwaybiï¿½ï¿½ï¿½ï¿,,12,11,1995,12,45,27.15,1995.948699,
29.114,35.167,10,4.7,md,5.0559,,,,1.3,"37 km SSE of Tala Bay, Jordan",,12,6,1995,9,47,27.74,1995.934467,
29.13,34.752,10,4.3,md,4.6755,,,,0.7,12 km NE of Nuwaybiï¿½ï¿½ï¿½ï¿,,12,6,1995,2,57,24.3,1995.933676,
29.188,34.79,10,4.3,md,4.6755,,,,0.9,19 km NE of Nuwaybiï¿½ï¿½ï¿½ï¿,,12,4,1995,17,56,42.68,1995.929855,
29.204,35.11,10,3.7,md,4.1049,,,,0.7,"25 km SSE of Tala Bay, Jordan",,12,2,1995,6,9,48.71,1995.922936,
27.309,33.397,30,4.3,md,4.6755,,,,1.5,"29 km WSW of El Gouna, Egypt",,4,6,1995,5,24,57.18,1995.267294,
28.959,34.567,20,3.7,md,4.1049,,,,0.6,13 km SW of Nuwaybiï¿½ï¿½ï¿½ï¿,,2,18,1995,13,21,39.71,1995.13488,
28.97,34.871,10,3.6,md,4.0098,,,,0.5,21 km ESE of Nuwaybiï¿½ï¿½ï¿½ï¿,,2,10,1995,15,12,12.15,1995.112871,
27.847,33.068,10,3.6,md,4.0098,,,,0.4,"56 km S of Ras Gharib, Egypt",,1,5,1995,1,52,51.95,1995.014107,
28.714,34.739,10,3.8,md,4.2,,,,1.3,"35 km NE of Dahab, Egypt",,11,14,1994,18,23,24.37,1994.874351,
30.566,32.806,10,3.8,md,4.2,,,,0.3,"51 km E of Ismailia, Egypt",,9,28,1994,9,38,37.44,1994.745561,
28.522,34.596,10,4.4,md,4.7706,,,,0.2,"10 km ENE of Dahab, Egypt",,9,26,1994,17,27,18.58,1994.740909,
27.813,33.771,10,3.8,md,4.2,,,,0.9,"47 km N of El Gouna, Egypt",,5,2,1994,18,15,40.79,1994.341002,
28.68,35.159,10,3.9,md,4.2951,,,,1.2,63 km SE of Nuwaybiï¿½ï¿½ï¿½ï¿,,4,28,1994,8,6,53.97,1994.328717,
28.423,34.535,10,4,md,4.3902,,,,0.3,"7 km SSE of Dahab, Egypt",,1,31,1994,22,57,18.71,1994.088768,
28.372,34.884,10,4,md,4.3902,,,,1.5,"40 km ESE of Dahab, Egypt",,1,31,1994,21,28,6.48,1994.088596,
28.776,34.703,10,3.8,md,4.2,,,,0.9,30 km S of Nuwaybiï¿½ï¿½ï¿½ï¿,,11,24,1993,19,31,46.24,1993.90226,
28.274,34.485,10,3.7,md,4.1049,,,,0.6,"23 km S of Dahab, Egypt",,7,26,1993,0,7,49.77,1993.572237,
27.24,35.029,10,4,md,4.3902,,,,0.4,"66 km W of Duba, Saudi Arabia",,7,19,1993,8,53,46.93,1993.553807,
29.148,30.576,10,3.7,md,4.1049,,,,0.9,"23 km WSW of I?s?, Egypt",,5,4,1993,20,56,38.87,1993.346869,
27.83,33.738,10,4.1,md,4.4853,,,,0.4,"47 km SSE of El-Tor, Egypt",,4,2,1993,22,3,42.4,1993.258109,
27.813,30.886,10,3.7,md,4.1049,,,,0.8,"9 km NNE of Mallaw?, Egypt",,4,1,1993,9,41,14.67,1993.253899,
29.518,31.33,10,3.6,md,4.0098,,,,1.2,"7 km SE of A? ?aff, Egypt",,12,4,1992,15,2,53.02,1992.929519,
29.491,34.858,10,4,md,4.3902,,,,0.9,"11 km SW of Eilat, Egypt",,11,12,1992,4,12,50.09,1992.867154,
29.757,31.078,25.4,4.1,md,4.4853,,,,0.9,"7 km SSE of Mad?nat Sittah Ukt?bar, Egypt",,11,5,1992,19,16,46.37,1992.849454,
28.552,32.863,10,3.8,md,4.2,,,,1.3,"30 km NW of Ras Gharib, Egypt",,10,20,1992,5,25,15.49,1992.806183,
29.687,31.042,10,3.7,md,4.1049,,,,1.7,"14 km S of Mad?nat Sittah Ukt?bar, Egypt",,10,13,1992,18,9,3.05,1992.788212,
30.55,35.209,10,4,md,4.3902,,,,0.7,"34 km W of Ash Shawbak, Jordan",,10,7,1992,21,41,14.28,1992.771955,
27.734,34.032,10,3.9,md,4.2951,,,,0.8,"35 km SW of Sharm el-Sheikh, Egypt",,9,26,1992,1,42,25.45,1992.739086,
27.165,33.858,10,3.8,md,4.2,,,,0.9,"11 km SSE of Hurghada, Egypt",,9,25,1992,23,6,12.94,1992.738785,
27.92,33.979,10,4.2,md,4.5804,,,,1.5,"34 km W of Sharm el-Sheikh, Egypt",,9,25,1992,21,35,39.67,1992.73861,
27.974,34.393,10,4,md,4.3902,,,,0.5,"8 km NE of Sharm el-Sheikh, Egypt",,9,25,1992,21,33,20.26,1992.738606,
27.617,34.293,10,3.8,md,4.2,,,,0.5,"33 km S of Sharm el-Sheikh, Egypt",,9,15,1992,7,24,14.04,1992.70919,
32.227,31.316,10,3.6,md,4.0098,,,,0.5,93 km NNW of ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,,6,8,1992,18,18,5.85,1992.441007,
28.885,33.247,10,4,md,4.3902,,,,0.2,"60 km NNE of Ras Gharib, Egypt",,11,26,1991,10,41,46.4,1991.906794,
29.536,32.591,31.3,4.2,md,4.5804,,,,0.8,"27 km ESE of Ain Sukhna, Egypt",,10,5,1991,18,48,25.99,1991.766066,
27.621,33.724,10,4,md,4.3902,,,,0.4,"25 km N of El Gouna, Egypt",,3,27,1991,0,18,25.3,1991.241702,
29.324,32.566,10,3.8,md,4.2,,,,0.2,"39 km SE of Ain Sukhna, Egypt",,8,11,1990,21,4,37.78,1990.616328,
29.05,31.84,10,3.8,md,4.2,,,,1.1,"69 km ESE of Al W?si?ah, Egypt",,7,7,1990,1,38,19.57,1990.519634,
28.846,33.16,10,3.8,md,4.2,,,,0.6,"54 km N of Ras Gharib, Egypt",,3,25,1990,12,2,17.73,1990.237504,
28.005,34.575,5,4,md,4.3902,,,,0.5,"26 km ENE of Sharm el-Sheikh, Egypt",,3,15,1990,11,24,30.1,1990.209654,
27.036,32.729,10,4,md,4.3902,,,,0.8,"96 km N of Qin?, Egypt",,2,23,1990,4,58,14.72,1990.147798,
27.599,34.231,10,4.1,md,4.4853,,,,0.6,"36 km SSW of Sharm el-Sheikh, Egypt",,1,24,1990,3,57,51.52,1990.067125,
28.076,33.732,10,3.7,md,4.1049,,,,1.5,"21 km SSE of El-Tor, Egypt",,10,4,1989,21,25,13.96,1989.76359,
27.657,33.862,10,4,md,4.3902,,,,0.8,"34 km NNE of El Gouna, Egypt",,9,6,1989,21,27,27.11,1989.685817,
32.136,30.755,10,3.9,ml,4.24078,29,181.2,,0.97,"87 km NNE of Rosetta, Egypt",,1,29,2006,23,46,33.67,2006.083307,
28.73,32.93,21.3,4.4,ml,4.75538,42,105,,,"43 km NNW of Ras Gharib, Egypt",,12,31,2005,13,58,52.5,2006.004396,
29.95,34.39,9,3.8,ml,4.13786,17,193.2,,,"69 km NW of Eilat, Egypt",,10,28,2004,7,10,32.2,2004.828608,
26.96,34.26,10,4,ml,4.3437,13,349.2,,,"35 km E of Makadi Bay, Egypt",,8,5,2004,17,39,15.2,2004.599266,
26.87,33.81,10,4.1,ml,4.44662,11,337.6,,,"16 km SSW of Makadi Bay, Egypt",,4,21,2004,8,39,10.9,2004.309335,
27.101,31.861,10,4.7,ml,5.06414,18,282.1,,0.59,"45 km ENE of Al Bad?r?, Egypt",,6,4,2003,9,14,47.8,2003.428848,
29.82,30.946,10,4.4,ml,4.75538,26,,,0.9,"10 km W of Mad?nat Sittah Ukt?bar, Egypt",,12,17,2001,4,25,33.36,2001.964401,
27.692,34.484,10,4.2,ml,4.54954,16,,,0.98,"29 km SSE of Sharm el-Sheikh, Egypt",,11,7,2001,4,5,3.24,2001.85325,
29.26,35.01,9,4,ml,4.3437,10,,,,"16 km S of Tala Bay, Jordan",,2,7,2001,3,39,0.4,2001.1032,
28.612,35.009,10,4.5,ml,4.8583,15,,,0.77,"52 km ENE of Dahab, Egypt",,12,25,2000,1,58,58.67,2000.986341,
29.7,34.95,17,4.1,ml,4.44662,,,,,"15 km N of Eilat, Egypt",,12,19,1999,8,42,49.1,1999.970453,
29.3,34.8,5,4,ml,4.3437,,,,,"21 km SW of Tala Bay, Jordan",,12,8,1999,3,35,48.1,1999.939305,
28.9,34.88,14,3.7,ml,4.03494,,,,,26 km SE of Nuwaybiï¿½ï¿½ï¿½ï¿,,8,7,1999,20,19,43.1,1999.605131,
28.83,34.67,1,4,ml,4.3437,,,,,24 km S of Nuwaybiï¿½ï¿½ï¿½ï¿,,2,2,1999,18,1,28.6,1999.090975,
29.7,34.63,16,4.5,ml,4.8583,,,,,"34 km WNW of Eilat, Egypt",,11,19,1998,12,9,33,1998.887518,
29.608,34.246,10,4.1,ml,4.44662,,,,,"68 km W of Eilat, Egypt",,4,25,1998,1,29,30.04,1998.319617,
29.142,34.652,10,4.4,ml,4.75538,,,,0.76,10 km N of Nuwaybiï¿½ï¿½ï¿½ï¿,,2,21,1997,10,12,53.7,1997.142849,
29.498,34.673,10,4,ml,4.3437,,,,0.45,"27 km WSW of Eilat, Egypt",,1,26,1997,8,21,41.57,1997.07319,
27.517,33.885,10,4.5,ml,4.8583,,,,0.86,"24 km ENE of El Gouna, Egypt",,12,23,1996,8,53,12.47,1996.981584,
29.746,34.798,10,4.2,ml,4.54954,,,,0.35,"25 km NW of Eilat, Egypt",,11,18,1996,9,36,7.02,1996.884445,
29.217,34.677,10,4.1,ml,4.44662,,,,0.8,18 km N of Nuwaybiï¿½ï¿½ï¿½ï¿,,2,12,1996,13,51,6.74,1996.11827,
29.369,35.083,5,4.3,ml,4.65246,,,,0.9,"10 km ESE of Tala Bay, Jordan",,2,4,1996,16,20,21.88,1996.096336,
29.746,34.796,10,4.1,ml,4.44662,,,,0.9,"25 km NW of Eilat, Egypt",,2,4,1996,12,16,32.07,1996.095865,
29.225,34.66,10,4,ml,4.3437,,,,0.7,19 km N of Nuwaybiï¿½ï¿½ï¿½ï¿,,2,2,1996,21,14,56.36,1996.091348,
28.909,34.809,10,4.2,ml,4.54954,,,,0.7,20 km SE of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,31,1996,9,53,33.68,1996.087256,
28.843,35.175,10,4,ml,4.3437,,,,1.1,54 km ESE of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,24,1996,15,5,12.95,1996.068413,
29.093,34.957,10,3.8,ml,4.13786,,,,1.1,29 km E of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,23,1996,3,17,16.05,1996.064269,
28.8,34.656,10,4.3,ml,4.65246,,,,0.7,27 km S of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,13,1996,17,47,38.99,1996.038171,
29.194,34.69,10,3.8,ml,4.13786,,,,0.1,16 km N of Nuwaybiï¿½ï¿½ï¿½ï¿,,1,8,1996,21,43,9.73,1996.024736,
28.694,34.757,10,4.4,ml,4.75538,,,,1,"34 km NE of Dahab, Egypt",,1,4,1996,14,24,41.59,1996.012779,
28.772,34.746,10,4.5,ml,4.8583,,,,0.7,31 km SSE of Nuwaybiï¿½ï¿½ï¿½ï¿,,12,15,1995,6,0,7.54,1995.959028,
28.991,34.831,10,4.1,ml,4.44662,,,,0.6,17 km ESE of Nuwaybiï¿½ï¿½ï¿½ï¿,,12,4,1995,12,39,50.08,1995.929244,
28.836,34.944,10,4.7,ml,5.06414,,,,0.9,35 km SE of Nuwaybiï¿½ï¿½ï¿½ï¿,,12,4,1995,7,34,15.86,1995.928654,
29.348,34.83,16.9,4.1,ml,4.44662,,,,0.7,"15 km WSW of Tala Bay, Jordan",,11,29,1995,9,46,24.15,1995.91502,
29.178,34.873,10,4.4,ml,4.75538,,,,0.6,25 km NE of Nuwaybiï¿½ï¿½ï¿½ï¿,,11,28,1995,21,10,43.67,1995.913562,
29.146,34.931,10,4.5,ml,4.8583,,,,0.7,28 km ENE of Nuwaybiï¿½ï¿½ï¿½ï¿,,11,28,1995,12,0,51.55,1995.912502,
29.184,35.01,10,4.2,ml,4.54954,,,,0.5,"25 km S of Tala Bay, Jordan",,11,25,1995,23,6,20.83,1995.905452,
29.054,34.774,12.4,4.1,ml,4.44662,,,,0.7,10 km E of Nuwaybiï¿½ï¿½ï¿½ï¿,,11,25,1995,22,41,30.11,1995.905404,
29.189,34.877,10,4.2,ml,4.54954,,,,0.5,26 km NE of Nuwaybiï¿½ï¿½ï¿½ï¿,,11,24,1995,22,26,35.47,1995.902598,
29.313,35.075,10,4.5,ml,4.8583,,,,0.6,"14 km SE of Tala Bay, Jordan",,11,24,1995,4,9,51.59,1995.900482,
29.202,35.115,10,4.4,ml,4.75538,,,,0.5,"26 km SSE of Tala Bay, Jordan",,11,24,1995,3,35,45.12,1995.900416,
28.768,34.841,10,4.9,ml,5.26998,,,,1.4,35 km SSE of Nuwaybiï¿½ï¿½ï¿½ï¿,,11,22,1995,11,37,14.62,1995.895789,
29.024,34.738,10,4.4,ml,4.75538,,,,0.6,7 km ESE of Nuwaybiï¿½ï¿½ï¿½ï¿,,11,22,1995,8,58,43.22,1995.895484,
29.194,34.819,10,3.7,ml,4.03494,,,,0.4,22 km NE of Nuwaybiï¿½ï¿½ï¿½ï¿,,8,31,1995,23,5,19.51,1995.672117,
28.557,34.598,10,4.2,ml,4.54954,,,,0.3,"13 km NE of Dahab, Egypt",,6,9,1995,23,30,36.85,1995.444388,
27.943,34.643,10,4.6,ml,4.96122,,,,0.6,"30 km E of Sharm el-Sheikh, Egypt",,2,26,1995,8,36,28.12,1995.156552,
28.969,34.964,5,3.6,ml,3.93202,,,,1.1,30 km ESE of Nuwaybiï¿½ï¿½ï¿½ï¿,,2,6,1995,21,15,48.85,1995.102461,
28.637,34.828,5,4.1,ml,4.44662,,,,1.7,"36 km ENE of Dahab, Egypt",,8,19,1994,1,36,4.12,1994.636296,
28.443,34.621,5,4.3,ml,4.65246,,,,1,"13 km ESE of Dahab, Egypt",,8,19,1994,1,30,27.77,1994.636286,
30.144,34.05,10,3.7,ml,4.03494,,,,1.1,"88 km SW of Mitzpe Ramon, Palestine",,6,24,1994,20,43,59.68,1994.485733,
31.474,28.937,10,4.3,ml,4.65246,,,,0.8,71 km N of Al ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,,11,27,1993,2,4,26.76,1993.908573,
29.713,31.541,10,3.8,ml,4.13786,,,,1.2,"27 km ESE of ?alw?n, Egypt",,11,4,1992,16,29,39.93,1992.846354,
30.088,31.277,10,4.1,ml,4.44662,,,,1.7,"3 km NE of Cairo, Egypt",,10,14,1992,3,50,15.61,1992.789333,
32.749,27.725,33,3.9,ml,4.24078,,,,0.9,"161 km NNE of Mersa Matruh, Egypt",,9,13,1992,5,11,13.02,1992.703378,
31.996,34.184,10,3.9,ml,4.24078,,,,0.9,"49 km WNW of Ashdod, Palestine",,9,13,1990,12,10,0.51,1990.704186,
32.34,30.886,33,3.7,ml,4.03494,,,,1.3,"113 km NNE of Rosetta, Egypt",,3,28,1990,22,27,31.72,1990.247044,
32.644,30.45,33,3.9,ml,4.24078,,,,1.2,"138 km N of Rosetta, Egypt",,3,25,1990,5,10,34.03,1990.23671,
28.469,33.818,10,3.9,ml,4.24078,,,,0.9,"16 km SW of Saint Catherine, Egypt",,11,29,1988,17,6,59.57,1988.91587,
33.152,34.336,33,3.7,ml,4.03494,,,,1,"71 km WNW of Haifa, Palestine",,9,5,1988,14,33,28.18,1988.68224,
29.521,35.187,10,4.7,ml,5.06414,,,,1.1,Jordan-Saudi Arabia border region,,10,18,1987,1,5,41.86,1987.800127,
32.764,32.207,10,3.6,ml,3.93202,,,,1.2,143 km NNE of ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,,2,16,1987,17,37,16.79,1987.129817,
28.886,34.903,10,4.5,ms,4.99105,,,,1.3,29 km SE of Nuwaybiï¿½ï¿½ï¿½ï¿,3,12,4,1993,23,34,11.16,1993.930506,
28.607,34.638,10,5.1,ms,5.47555,,,,1.1,"19 km NE of Dahab, Egypt",1,8,3,1993,13,44,59.9,1993.593258,
28.504,34.676,10,5.3,ms,5.63705,,,,1.1,"17 km E of Dahab, Egypt",3,8,3,1993,13,12,18.3,1993.593195,
29.67,31.12,22,4.1,mw,4.1,72,83.1,,,14 km WNW of Al ï¿½ï¿½ï¿½ï¿½ï¿½,,7,31,2005,16,16,37,2005.587995,
28.883,34.75,22.5,5.3,mw,5.3,,,,1,Egypt,,2,21,1996,4,59,53.45,1996.142245,
29.333,34.749,10,5.7,mw,5.7,,,,1.1,"23 km WSW of Tala Bay, Jordan",,11,23,1995,18,7,17.29,1995.89932,
28.52,34.701,10,5.4,mw,5.4,,,,1.3,"20 km ENE of Dahab, Egypt",,11,22,1995,22,16,53.93,1995.897023,
28.826,34.799,10,7.2,mw,7.2,,,,1.3,27 km SSE of Nuwaybiï¿½ï¿½ï¿½ï¿,,11,22,1995,4,15,11.94,1995.894937,
28.777,34.668,10,5.7,mw,5.7,,,,1.1,29 km S of Nuwaybiï¿½ï¿½ï¿½ï¿,,8,3,1993,16,33,20.78,1993.593583,
28.729,34.553,10,6.1,mw,6.1,,,,1.3,"27 km NNE of Dahab, Egypt",,8,3,1993,12,43,5.36,1993.593139,
29.778,31.144,21.5,5.8,mw,5.8,,,,1.2,"10 km ESE of Mad?nat Sittah Ukt?bar, Egypt",,10,12,1992,13,9,55.51,1992.784857,
32.739,35.094,24.3,5.3,mw,5.3,,,,1.1,"1 km SSW of Rekhasim, Palestine",,8,24,1984,6,2,24.55,1984.650699,
27.643,33.815,15,5.6,mw,5.6,,,,,"30 km NNE of El Gouna, Egypt",,6,28,1972,9,49,36.85,1972.495582,
27.343,33.665,15,5.19,mw,5.19,,,,,"5 km SSW of El Gouna, Egypt",,4,14,1969,13,43,56.58,1969.290478,
27.575,33.895,10,6.6,mw,6.6,,,,,"29 km NE of El Gouna, Egypt",,3,31,1969,7,15,52.94,1969.253619,
32.418,29.748,63.7,6.23,mw,6.23,,,,,"129 km NNW of Rosetta, Egypt",,9,12,1955,6,9,28.96,1955.700713,
32.373,33.454,15,5.88,mw,5.88,,,,,"127 km WNW of Jaffa, Palestine",,1,30,1951,23,7,27.66,1951.08601,
29.0402,34.6672,22,5.5,mwb,5.5,,57,2.386,0.76,0 km SSE of Nuwaybiï¿½ï¿½ï¿½ï¿,40,6,27,2015,15,34,3.96,2015.493468,
31.401,27.667,10,5.5,mwc,5.5,,,,1,"41 km E of Mersa Matruh, Egypt",,5,28,1998,18,33,28.1,1998.413259,
27.3437,34.7204,10,5.5,mww,5.5,,30,2.326,0.93,"74 km SSE of Sharm el-Sheikh, Egypt",25,6,16,2020,14,30,26.687,2020.46279,
