latitude,longitude,depth,mag,magType,(Mw),nst,gap,dmin,rms,place,magNst,month,day,year,hour,minute,second,Exact_Date,mag2
28.948,34.663,10,4.6,mb,4.67678,,,,1.1,10 km S of Nuwaybiï¿½ï¿½ï¿½ï¿,15,8,3,1993,18,2,5.46,1993.593754,
28.668,34.786,10,4.6,mb,4.67678,,,,1.3,"35 km NE of Dahab, Egypt",18,8,3,1993,17,50,20.63,1993.593731,
28.886,33.706,10,3.8,mb,3.70934,,,,1.5,"43 km NNW of Saint Catherine, Egypt",1,8,3,1993,15,42,54.66,1993.593486,
28.405,34.78,10,5,mb,5.1605,,,,1.3,"29 km ESE of Dahab, Egypt",31,8,3,1993,13,33,43.95,1993.593236,
29.679,34.141,10,4.6,mb,4.67678,,,,1.3,"79 km W of Eilat, Egypt",12,8,3,1993,13,29,42.46,1993.593229,
28.6,34.777,10,5.1,mb,5.28143,,,,1.3,"30 km ENE of Dahab, Egypt",46,8,3,1993,12,54,6.36,1993.59316,
28.549,34.608,10,4.5,mb,4.55585,,,,1.4,"13 km NE of Dahab, Egypt",5,8,3,1993,12,31,20.19,1993.593116,
29.394,34.475,10,4.4,mb,4.43492,,,,1.3,42 km NNW of Nuwaybiï¿½ï¿½ï¿½ï¿,8,7,31,1993,17,53,1.43,1993.588181,
28.864,34.821,18,4.7,mb,4.79771,,,,1.2,25 km SE of Nuwaybiï¿½ï¿½ï¿½ï¿,31,7,30,1993,23,34,10.81,1993.586061,
29.572,30.772,10,4.3,mb,4.31399,,,,1.4,"21 km WNW of ??miyah, Egypt",3,6,13,1993,6,16,5.41,1993.453503,
28.384,33.307,10.8,3.8,mb,3.70934,,,,1.3,"22 km E of Ras Gharib, Egypt",1,3,29,1993,3,37,58.07,1993.247643,
30.079,31.654,10,4.5,mb,4.55585,,,,1.2,Egypt,1,3,10,1993,19,26,56.29,1993.196695,
29.685,31.06,30,4.4,mb,4.43492,,,,0.7,"14 km S of Mad?nat Sittah Ukt?bar, Egypt",3,11,10,1992,11,17,17.85,1992.862418,
