Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
23/10/2011,43.4657,38.689,19.02,0.28,Ml,6.7,Tuşba (Van),141933
12/11/99,31.21,40.79,11,0,Md,7.2,Merkez (Düzce),246572
17/08/1999,29.91,40.7,15.9,0,Md,7.4,Başiskele (Kocaeli),247730
13/03/1992,40,40,11,0,Md,7,Otlukbeli (Erzincan),236369
